Ingreso,Alimentación,Movilidad,Vivienda,Salud,Educación,Entretenimiento,Vestuario,Ahorros,Deudas,Otros,%Ahorro,%Deuda,NivelIngreso,SaludFinanciera,PerfilFinanciero
1428094,162217,60089,239930,57242,94103,48911,30794,448055,204619,64110,31.37,14.33,Bajo,Aceptable,Ahorrador
208682,24968,9428,37823,7849,11279,7814,5033,65527,26961,11507,31.4,12.92,Bajo,Aceptable,Ahorrador
618181,75036,29164,105017,24789,37988,21955,17578,173521,79675,32690,28.07,12.89,Bajo,Aceptable,Ahorrador
1515184,210152,60212,273803,60024,89010,51263,37808,435136,208698,78579,28.72,13.77,Bajo,Aceptable,Ahorrador
83204,11079,3298,13846,3672,5086,2975,2114,26868,10055,4187,32.29,12.08,Bajo,Aceptable,Ahorrador
561495,71524,21789,92777,23557,36802,16683,13502,175526,73078,31167,31.26,13.01,Bajo,Aceptable,Ahorrador
1395772,186061,54637,258587,55818,78548,48103,38771,414835,189927,70212,29.72,13.61,Bajo,Aceptable,Ahorrador
926390,111599,38117,159413,43609,49715,32613,25931,291999,125849,47123,31.52,13.58,Bajo,Aceptable,Ahorrador
1228823,172699,56143,197436,52150,76465,38784,29260,375815,160674,62519,30.58,13.08,Bajo,Aceptable,Ahorrador
498563,60433,20816,81981,23681,31840,15796,11873,156005,62995,26735,31.29,12.64,Bajo,Aceptable,Ahorrador
119120,14311,5315,22285,4774,7838,4225,3051,34449,16050,6153,28.92,13.47,Bajo,Aceptable,Ahorrador
1447846,201660,61183,237421,61234,83490,49356,34143,437434,191734,72006,30.21,13.24,Bajo,Aceptable,Ahorrador
495964,59075,22725,91238,22136,30927,15631,12221,148170,63827,23586,29.88,12.87,Bajo,Aceptable,Ahorrador
1465984,181561,66063,224901,66378,85245,48171,36080,462012,208167,79697,31.52,14.2,Bajo,Aceptable,Ahorrador
1581887,204386,65630,300545,74607,91169,53751,40824,442530,214744,75036,27.97,13.58,Bajo,Aceptable,Ahorrador
1301284,182826,43146,228848,52762,69697,47857,34912,389970,177494,67119,29.97,13.64,Bajo,Aceptable,Ahorrador
67168,8394,3089,11828,2629,4051,2561,1615,20570,8992,3341,30.62,13.39,Bajo,Aceptable,Ahorrador
585851,72437,25534,109852,26211,33158,20897,16132,168501,81655,31021,28.76,13.94,Bajo,Aceptable,Ahorrador
982519,122410,42628,154518,45993,56520,35340,27314,272868,137496,55283,27.77,13.99,Bajo,Aceptable,Ahorrador
1603665,207805,73008,302425,71434,103183,57526,42114,457444,198278,79174,28.52,12.36,Bajo,Aceptable,Ahorrador
1213955,173900,50993,198025,52805,74225,43681,28973,383739,138768,68328,31.61,11.43,Bajo,Aceptable,Ahorrador
443686,52673,19332,78440,18860,26016,16506,11969,129627,61108,22627,29.22,13.77,Bajo,Aceptable,Ahorrador
955447,120787,39192,163263,37639,50330,29313,21917,318134,124695,49711,33.3,13.05,Bajo,Aceptable,Ahorrador
672125,91671,31113,123926,27048,44567,21117,16467,184492,85721,38332,27.45,12.75,Bajo,Aceptable,Ahorrador
780978,95005,34491,140536,31681,50947,26613,19605,236822,103735,41373,30.32,13.28,Bajo,Aceptable,Ahorrador
318499,42084,14008,51704,14733,20840,10741,8780,102058,37596,15899,32.04,11.8,Bajo,Aceptable,Ahorrador
530898,73328,22487,84376,23316,33515,19157,13763,168961,62892,28073,31.83,11.85,Bajo,Aceptable,Ahorrador
1114599,154753,49778,204313,50374,62236,37805,28383,315360,152999,56930,28.29,13.73,Bajo,Aceptable,Ahorrador
783841,94932,31243,130981,31943,49491,28285,20843,228165,102396,37249,29.11,13.06,Bajo,Aceptable,Ahorrador
1183971,144392,56417,189651,54934,76142,38803,32588,365738,157216,59011,30.89,13.28,Bajo,Aceptable,Ahorrador
161258,22658,6347,30833,6377,9255,5501,4407,44117,21736,8678,27.36,13.48,Bajo,Aceptable,Ahorrador
489549,58253,19448,91041,20539,26826,18238,13246,155104,61657,24003,31.68,12.59,Bajo,Aceptable,Ahorrador
465751,64189,21542,78550,19414,25714,15166,12235,131998,54863,22510,28.34,11.78,Bajo,Aceptable,Ahorrador
580924,72670,23234,89439,25741,35960,19338,15487,182390,81729,31332,31.4,14.07,Bajo,Aceptable,Ahorrador
1322528,167402,54276,252197,63070,80014,49034,35995,381732,164481,56648,28.86,12.44,Bajo,Aceptable,Ahorrador
934628,127842,39384,164534,37164,57674,31559,23453,266950,126171,49004,28.56,13.5,Bajo,Aceptable,Ahorrador
695481,90489,33127,115246,26484,41590,23963,19944,225945,80011,35194,32.49,11.5,Bajo,Aceptable,Ahorrador
843123,101239,36679,141568,33734,52419,31143,23051,262893,104004,41110,31.18,12.34,Bajo,Aceptable,Ahorrador
1302350,164731,52859,246136,51687,80076,43135,35612,361163,162036,68202,27.73,12.44,Bajo,Aceptable,Ahorrador
114348,15430,5345,18055,5387,7318,3927,3011,31790,15450,5893,27.8,13.51,Bajo,Aceptable,Ahorrador
1158355,146474,45447,216807,46735,63684,40737,31869,319886,142254,63186,27.62,12.28,Bajo,Aceptable,Ahorrador
569370,68117,24405,106126,23338,35343,18850,16062,164748,81089,30098,28.94,14.24,Bajo,Aceptable,Ahorrador
346039,48816,15335,59813,14296,21355,11222,9178,102090,47488,16355,29.5,13.72,Bajo,Aceptable,Ahorrador
1475164,183842,58848,231507,69282,97900,49337,36908,434942,203041,84518,29.48,13.76,Bajo,Aceptable,Ahorrador
743087,90828,31990,117195,30978,46433,23589,18667,222965,101517,37333,30.01,13.66,Bajo,Aceptable,Ahorrador
1593498,195127,66526,271810,75124,98950,60436,38577,456444,226079,90103,28.64,14.19,Bajo,Aceptable,Ahorrador
1224641,166866,54488,203496,50960,79699,41827,29910,388154,143705,61894,31.7,11.73,Bajo,Aceptable,Ahorrador
488232,62232,19598,86170,22120,27359,16811,12253,143925,59973,26002,29.48,12.28,Bajo,Aceptable,Ahorrador
744144,92918,29690,127149,35436,45632,26079,17782,218074,91533,35014,29.31,12.3,Bajo,Aceptable,Ahorrador
1209708,141948,48204,226302,52868,79461,43513,33054,348140,170393,58719,28.78,14.09,Bajo,Aceptable,Ahorrador
302376,38715,11947,50433,12068,19543,11183,8218,87112,43226,14877,28.81,14.3,Bajo,Aceptable,Ahorrador
1538267,210424,61454,279859,60461,84499,49266,37308,448909,182193,87214,29.18,11.84,Bajo,Aceptable,Ahorrador
1417857,179939,61071,264334,61742,91908,49458,38001,403675,172724,66657,28.47,12.18,Bajo,Aceptable,Ahorrador
1611723,214463,66838,274025,72894,87919,53213,41819,491388,216047,91591,30.49,13.4,Bajo,Aceptable,Ahorrador
395517,53482,17482,64862,15739,25025,13145,10973,113731,47165,22198,28.76,11.92,Bajo,Aceptable,Ahorrador
289195,35704,11940,53798,12148,17667,9674,7753,86603,38273,14198,29.95,13.23,Bajo,Aceptable,Ahorrador
777227,92459,30510,145492,31585,47145,24609,18752,238266,101675,43668,30.66,13.08,Bajo,Aceptable,Ahorrador
37670,5098,1645,6489,1334,2330,1199,1011,10880,5287,1905,28.88,14.04,Bajo,Aceptable,Ahorrador
225332,27436,10190,39378,9080,13319,7123,6444,70192,29264,11223,31.15,12.99,Bajo,Aceptable,Ahorrador
457184,56262,18135,84969,20883,28620,14722,12785,125714,62433,21760,27.5,13.66,Bajo,Aceptable,Ahorrador
542738,64099,23338,100961,22401,35261,20575,13903,161657,64699,30771,29.79,11.92,Bajo,Aceptable,Ahorrador
1219965,165447,51444,181807,55004,71168,42183,33472,382498,159539,69814,31.35,13.08,Bajo,Aceptable,Ahorrador
262038,35748,10694,44037,10384,14362,9804,6153,73125,34939,13788,27.91,13.33,Bajo,Aceptable,Ahorrador
795544,109847,29972,134962,35619,47611,24551,21945,242781,102381,36294,30.52,12.87,Bajo,Aceptable,Ahorrador
297367,37108,11689,49074,13003,19456,9727,7792,95600,36729,16093,32.15,12.35,Bajo,Aceptable,Ahorrador
851258,101945,35788,141038,40674,50208,28859,21594,269369,107155,48201,31.64,12.59,Bajo,Aceptable,Ahorrador
1496045,179389,61450,237257,67153,85313,55995,42599,456991,189685,71827,30.55,12.68,Bajo,Aceptable,Ahorrador
329422,46311,14106,55618,15680,18783,10658,8404,95516,40790,16191,29.0,12.38,Bajo,Aceptable,Ahorrador
726770,89590,33661,126647,32184,42903,22320,17722,222762,86487,41000,30.65,11.9,Bajo,Aceptable,Ahorrador
1581476,218070,75405,273572,59561,87170,59812,40956,463674,201992,82792,29.32,12.77,Bajo,Aceptable,Ahorrador
430682,54762,19860,69345,19306,24381,14004,11589,122617,52542,21191,28.47,12.2,Bajo,Aceptable,Ahorrador
1088324,130114,42761,175988,48344,67204,35738,25626,324264,130524,62309,29.79,11.99,Bajo,Aceptable,Ahorrador
173180,20930,7774,30985,7190,9923,5873,4613,52891,23264,9502,30.54,13.43,Bajo,Aceptable,Ahorrador
1619902,221927,75063,273332,65027,89580,60399,44029,489415,197925,89769,30.21,12.22,Bajo,Aceptable,Ahorrador
44195,5904,2009,7479,1994,2730,1398,1233,12147,5364,2521,27.49,12.14,Bajo,Aceptable,Ahorrador
228158,29330,9285,35400,9816,13413,8031,6170,75902,28225,10849,33.27,12.37,Bajo,Aceptable,Ahorrador
1189355,147727,52393,198518,47461,74172,39946,31767,365377,146528,57333,30.72,12.32,Bajo,Aceptable,Ahorrador
361460,45210,14832,66282,15920,22915,12135,9252,110954,42599,20551,30.7,11.79,Bajo,Aceptable,Ahorrador
810427,105402,36731,129346,32539,51217,28051,19158,243169,103177,40796,30.01,12.73,Bajo,Aceptable,Ahorrador
470541,66610,21171,76198,21698,28427,15928,11285,132129,65202,26130,28.08,13.86,Bajo,Aceptable,Ahorrador
91086,11313,3881,16210,3568,5478,3415,2531,28608,10745,4576,31.41,11.8,Bajo,Aceptable,Ahorrador
1615020,210246,65778,295013,68887,91378,58680,43465,467211,218178,80118,28.93,13.51,Bajo,Aceptable,Ahorrador
532580,71762,20352,84653,24240,34181,17260,12934,174501,67176,25179,32.77,12.61,Bajo,Aceptable,Ahorrador
1472044,190220,66373,278283,68923,83463,52452,40112,445599,181323,63720,30.27,12.32,Bajo,Aceptable,Ahorrador
1208962,155302,49912,228495,50270,78762,44235,34114,334619,145356,59826,27.68,12.02,Bajo,Aceptable,Ahorrador
1070746,143873,47538,171848,46536,62732,37134,28771,339412,132112,59971,31.7,12.34,Bajo,Aceptable,Ahorrador
311990,38259,14749,52055,13895,20283,11790,8036,97693,38804,15498,31.31,12.44,Bajo,Aceptable,Ahorrador
1574545,207229,62477,299151,71255,95021,51875,44699,484976,171745,85792,30.8,10.91,Bajo,Aceptable,Ahorrador
1020016,122917,45585,167778,46559,65888,33532,26835,318871,139153,47942,31.26,13.64,Bajo,Aceptable,Ahorrador
369039,52648,14754,60222,17394,24180,13934,9811,106985,49257,18242,28.99,13.35,Bajo,Aceptable,Ahorrador
1181493,153998,51804,190367,49802,66797,39150,30327,369944,147906,57974,31.31,12.52,Bajo,Aceptable,Ahorrador
173700,23762,6896,27957,6847,10246,5692,4479,56996,21781,8905,32.81,12.54,Bajo,Aceptable,Ahorrador
1037497,127164,47374,188554,43711,68013,38506,27934,299088,123090,55493,28.83,11.86,Bajo,Aceptable,Ahorrador
1334570,165616,52224,220664,55793,80139,48691,36948,428389,162819,65904,32.1,12.2,Bajo,Aceptable,Ahorrador
1113741,153067,48756,197910,51373,61898,35964,29353,340144,134939,55702,30.54,12.12,Bajo,Aceptable,Ahorrador
1003221,123494,42858,179121,46255,58154,32933,26192,315151,124849,52109,31.41,12.44,Bajo,Aceptable,Ahorrador
31427,4134,1486,5960,1264,1821,1007,720,9090,4239,1472,28.92,13.49,Bajo,Aceptable,Ahorrador
433261,59875,19486,72115,17996,25093,15097,10577,125927,60313,24119,29.06,13.92,Bajo,Aceptable,Ahorrador
1411261,173303,61378,262384,61932,78773,44623,37628,394606,168476,73737,27.96,11.94,Bajo,Aceptable,Ahorrador
727447,91085,31760,119165,29857,43075,26709,20351,201182,96806,41206,27.66,13.31,Bajo,Aceptable,Ahorrador
1256324,155927,50526,209910,57093,75965,42760,29491,382266,175087,71857,30.43,13.94,Bajo,Aceptable,Ahorrador
943705,119067,39786,154906,38858,60888,31729,24557,279583,132023,45851,29.63,13.99,Bajo,Aceptable,Ahorrador
983802,131974,39941,186768,43089,56222,36761,24534,285817,122339,47915,29.05,12.44,Bajo,Aceptable,Ahorrador
1083317,155204,42820,196132,44177,61099,40552,29316,304128,128630,55990,28.07,11.87,Bajo,Aceptable,Ahorrador
46121,6170,2122,8478,2129,2741,1255,1229,14007,5755,2134,30.37,12.48,Bajo,Aceptable,Ahorrador
512552,66407,23012,88140,19204,30839,17297,12814,158291,68775,26428,30.88,13.42,Bajo,Aceptable,Ahorrador
1266643,150165,54769,221942,55646,75354,42085,31114,392752,148781,72093,31.01,11.75,Bajo,Aceptable,Ahorrador
439027,57574,17750,74360,18131,26157,14884,12246,132368,58261,20789,30.15,13.27,Bajo,Aceptable,Ahorrador
990271,135120,37528,179303,44204,62204,31427,24307,302342,114622,55068,30.53,11.57,Bajo,Aceptable,Ahorrador
1458932,185967,63220,268246,59936,82102,50565,39571,436452,205243,66288,29.92,14.07,Bajo,Aceptable,Ahorrador
1266855,177102,50867,234852,58010,78195,40042,34572,348899,164735,64254,27.54,13.0,Bajo,Aceptable,Ahorrador
783879,102689,26042,145212,28841,42853,29340,20748,239185,106830,36634,30.51,13.63,Bajo,Aceptable,Ahorrador
466454,65375,18323,81063,19767,29736,15963,11857,144060,56703,21344,30.88,12.16,Bajo,Aceptable,Ahorrador
374029,43901,16149,70182,16089,24660,12575,10608,105701,52855,20356,28.26,14.13,Bajo,Aceptable,Ahorrador
1057212,138331,48720,196747,43056,57287,37848,25446,325646,126311,49697,30.8,11.95,Bajo,Aceptable,Ahorrador
400814,47736,17593,63317,15918,22703,14042,11190,125626,47106,22026,31.34,11.75,Bajo,Aceptable,Ahorrador
315287,41217,15039,51279,12818,17448,10434,7568,89130,44915,16209,28.27,14.25,Bajo,Aceptable,Ahorrador
914516,116741,36150,152455,41895,52827,33135,22434,271814,113334,50967,29.72,12.39,Bajo,Aceptable,Ahorrador
235967,30017,9643,39497,10071,13214,7942,5930,72195,28814,12210,30.6,12.21,Bajo,Aceptable,Ahorrador
988009,124160,41826,176411,41146,64976,30854,25879,305482,126997,48944,30.92,12.85,Bajo,Aceptable,Ahorrador
120946,15519,4883,22802,5314,7300,4218,3384,33574,15282,6501,27.76,12.64,Bajo,Aceptable,Ahorrador
511537,71272,23035,84632,22507,34226,19040,12056,159536,57590,26065,31.19,11.26,Bajo,Aceptable,Ahorrador
1306342,162613,55651,223485,57415,72602,46042,31705,401298,185945,61574,30.72,14.23,Bajo,Aceptable,Ahorrador
920797,122917,40149,147093,41214,54188,31460,25546,286282,121341,45069,31.09,13.18,Bajo,Aceptable,Ahorrador
1050426,131057,42799,167844,46762,58202,35792,25668,289825,127787,56429,27.59,12.17,Bajo,Aceptable,Ahorrador
334649,44657,13920,61661,14416,18341,11719,9500,95815,46637,17540,28.63,13.94,Bajo,Aceptable,Ahorrador
1286839,174752,52290,237697,50108,70483,46194,31745,367588,179872,59199,28.57,13.98,Bajo,Aceptable,Ahorrador
1296761,158957,61730,207922,53261,84722,42935,31883,359946,172951,70443,27.76,13.34,Bajo,Aceptable,Ahorrador
63409,7463,2992,10776,2555,3804,2280,1686,19304,7622,3354,30.44,12.02,Bajo,Aceptable,Ahorrador
1309394,182483,58328,225789,56603,78162,41095,37362,397352,155264,67533,30.35,11.86,Bajo,Aceptable,Ahorrador
438911,49786,17772,75056,19388,26867,12713,10814,144573,59792,19602,32.94,13.62,Bajo,Aceptable,Ahorrador
1046561,149784,42455,195419,43201,69287,34550,29766,286892,140415,50419,27.41,13.42,Bajo,Aceptable,Ahorrador
1056405,137191,41532,181121,49557,68635,34698,28715,322611,132291,59938,30.54,12.52,Bajo,Aceptable,Ahorrador
1381275,196228,55152,260513,61581,82383,52810,32933,385875,179950,72054,27.94,13.03,Bajo,Aceptable,Ahorrador
1340363,157639,51072,255841,60249,82671,42988,32757,448510,152907,51590,33.46,11.41,Bajo,Aceptable,Ahorrador
642844,87813,25385,118246,29471,42997,23090,17646,188307,76012,32047,29.29,11.82,Bajo,Aceptable,Ahorrador
173848,20876,7438,29324,6796,11116,5792,4547,54880,23790,8918,31.57,13.68,Bajo,Aceptable,Ahorrador
876200,120901,35968,137649,37125,52818,32652,23377,269310,108856,49857,30.74,12.42,Bajo,Aceptable,Ahorrador
681841,90051,29241,104881,26046,39818,24633,17816,227060,80910,37658,33.3,11.87,Bajo,Aceptable,Ahorrador
474365,66644,19293,80788,21710,30390,15739,13026,138200,63136,23503,29.13,13.31,Bajo,Aceptable,Ahorrador
818314,110825,36525,135485,32210,50006,28440,20816,241268,101708,46822,29.48,12.43,Bajo,Aceptable,Ahorrador
741882,95134,29590,136210,29253,45313,27186,18165,227705,93339,39508,30.69,12.58,Bajo,Aceptable,Ahorrador
1390226,193564,64421,227553,64853,85575,48097,36950,437109,164046,66427,31.44,11.8,Bajo,Aceptable,Ahorrador
900413,109408,37000,157028,37612,55962,29444,23916,284312,115063,48294,31.58,12.78,Bajo,Aceptable,Ahorrador
725701,92475,32102,137499,32553,43737,23257,19097,212915,88191,36807,29.34,12.15,Bajo,Aceptable,Ahorrador
1028907,133606,47124,158479,44719,62887,36109,26311,338986,124533,55784,32.95,12.1,Bajo,Aceptable,Ahorrador
1326939,165648,60803,214766,59372,78189,46786,37629,423856,161790,73138,31.94,12.19,Bajo,Aceptable,Ahorrador
838338,94554,36410,151757,34087,53036,28211,21712,267429,102194,47642,31.9,12.19,Bajo,Aceptable,Ahorrador
613852,73261,28430,112841,26280,37187,22251,14847,200160,68796,29098,32.61,11.21,Bajo,Aceptable,Ahorrador
1075466,147330,46387,186681,44067,62800,34053,27803,308256,152085,53954,28.66,14.14,Bajo,Aceptable,Ahorrador
1596479,201592,73176,303986,72147,89432,51331,39367,446288,191437,87239,27.95,11.99,Bajo,Aceptable,Ahorrador
1379474,174386,65196,245609,54385,83134,50222,34678,424675,178593,65410,30.79,12.95,Bajo,Aceptable,Ahorrador
321746,39630,13177,54810,14037,18148,10909,8317,106501,37296,17596,33.1,11.59,Bajo,Aceptable,Ahorrador
1576408,217613,68263,255748,68413,97920,59393,42799,489869,192343,79881,31.08,12.2,Bajo,Aceptable,Ahorrador
100408,13555,4187,18697,4318,6346,3449,2454,28891,12019,5004,28.77,11.97,Bajo,Aceptable,Ahorrador
158622,21243,7425,23605,6737,8680,5124,3828,52304,20529,9013,32.97,12.94,Bajo,Aceptable,Ahorrador
1220171,171621,45693,219710,53599,64417,35723,32571,374387,161121,59593,30.68,13.2,Bajo,Aceptable,Ahorrador
757443,106862,30033,144702,31174,47505,23862,18843,222127,91072,40360,29.33,12.02,Bajo,Aceptable,Ahorrador
776032,108072,35638,125090,35286,46999,26247,19869,218245,108578,38803,28.12,13.99,Bajo,Aceptable,Ahorrador
1544588,208562,62886,264953,62446,97423,50256,38735,478707,197846,74231,30.99,12.81,Bajo,Aceptable,Ahorrador
1346202,182293,50132,235108,59598,78450,48390,33847,415662,172613,66767,30.88,12.82,Bajo,Aceptable,Ahorrador
20513,2501,887,3056,948,1238,766,557,6863,2489,1176,33.46,12.13,Bajo,Aceptable,Ahorrador
88067,10754,3976,14621,3860,5028,2887,2451,27106,12300,4927,30.78,13.97,Bajo,Aceptable,Ahorrador
1080918,148698,46174,174447,48388,62376,37872,30790,322654,127497,52540,29.85,11.8,Bajo,Aceptable,Ahorrador
686224,80319,30426,127054,27760,40992,24612,17269,214536,83760,36744,31.26,12.21,Bajo,Aceptable,Ahorrador
409579,53681,17862,75000,17126,24666,13450,11009,125323,50995,19512,30.6,12.45,Bajo,Aceptable,Ahorrador
372800,52071,17570,59559,15915,21123,13255,10056,110296,51085,18765,29.59,13.7,Bajo,Aceptable,Ahorrador
1595586,217816,67443,267153,68346,103748,52245,42856,450402,195862,76997,28.23,12.28,Bajo,Aceptable,Ahorrador
386315,50969,15278,70505,17138,24819,12383,9296,111433,51794,17582,28.85,13.41,Bajo,Aceptable,Ahorrador
252141,35556,10337,41876,11941,14027,9449,6041,74659,31940,13090,29.61,12.67,Bajo,Aceptable,Ahorrador
738426,101628,31974,136293,33089,46969,26713,18554,205806,92469,38052,27.87,12.52,Bajo,Aceptable,Ahorrador
1078653,136919,46704,191048,46604,62278,40913,26249,326747,133128,56964,30.29,12.34,Bajo,Aceptable,Ahorrador
1337220,153446,58429,237190,58951,77660,43892,33390,438025,170828,62368,32.76,12.77,Bajo,Aceptable,Ahorrador
484232,61953,18488,90375,22449,28909,18485,12314,136701,63855,26759,28.23,13.19,Bajo,Aceptable,Ahorrador
759706,94156,31638,130424,32648,44254,24213,19067,235925,105378,37647,31.05,13.87,Bajo,Aceptable,Ahorrador
1334007,158497,58382,226711,61229,74260,44195,33094,377544,168919,64733,28.3,12.66,Bajo,Aceptable,Ahorrador
309336,41030,12281,53241,13432,20261,10416,8875,91502,40093,14938,29.58,12.96,Bajo,Aceptable,Ahorrador
725296,90730,31386,120535,29642,45606,24501,19869,206997,100731,38561,28.54,13.89,Bajo,Aceptable,Ahorrador
509321,63929,21307,81900,22270,27989,17137,12296,168203,71284,22035,33.02,14.0,Bajo,Aceptable,Ahorrador
592455,83094,23847,100168,24447,34770,18089,13329,193882,69829,30491,32.73,11.79,Bajo,Aceptable,Ahorrador
394949,47314,18557,75178,17768,25219,12544,9284,109946,47969,19272,27.84,12.15,Bajo,Aceptable,Ahorrador
1328232,166430,58117,228196,58687,76132,44171,36445,371042,187399,69597,27.94,14.11,Bajo,Aceptable,Ahorrador
